info: () => {
  return format(new Date(), "yyyy-MM-dd HH:mm:ss:SSS");
} | 36ca5a40-b854-462c-b84f-a74ee0ac01dc | studentsController | getStudent | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:11:952 | ae0ff1be-d3d1-4405-90de-5c2d0a8adc5a | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:11:956 | ae0ff1be-d3d1-4405-90de-5c2d0a8adc5a | studentsService | generatePdfAsync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:11:982 | ae0ff1be-d3d1-4405-90de-5c2d0a8adc5a | studentsService | generatePdfAsync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:12:262 | b3a55d74-1530-443a-b5f8-9f3d0ce21879 | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:12:264 | b3a55d74-1530-443a-b5f8-9f3d0ce21879 | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:12:265 | b3a55d74-1530-443a-b5f8-9f3d0ce21879 | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:12:268 | b3a55d74-1530-443a-b5f8-9f3d0ce21879 | studentsService | generatePdfAsync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:12:296 | b3a55d74-1530-443a-b5f8-9f3d0ce21879 | studentsService | generatePdfAsync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:12:600 | 27164c3e-4cee-492d-b8a0-74552ae218e0 | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:12:602 | 27164c3e-4cee-492d-b8a0-74552ae218e0 | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:12:603 | 27164c3e-4cee-492d-b8a0-74552ae218e0 | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:12:606 | 27164c3e-4cee-492d-b8a0-74552ae218e0 | studentsService | generatePdfAsync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:12:635 | 27164c3e-4cee-492d-b8a0-74552ae218e0 | studentsService | generatePdfAsync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:12:927 | 0f8acf56-a2ea-48e1-a8e5-f2381c0719a0 | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:12:928 | 0f8acf56-a2ea-48e1-a8e5-f2381c0719a0 | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:12:929 | 0f8acf56-a2ea-48e1-a8e5-f2381c0719a0 | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:12:933 | 0f8acf56-a2ea-48e1-a8e5-f2381c0719a0 | studentsService | generatePdfAsync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:12:961 | 0f8acf56-a2ea-48e1-a8e5-f2381c0719a0 | studentsService | generatePdfAsync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:13:507 | 095354cf-1a7b-49cf-97d0-2315a42db6fe | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:13:508 | 095354cf-1a7b-49cf-97d0-2315a42db6fe | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:13:509 | 095354cf-1a7b-49cf-97d0-2315a42db6fe | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:13:513 | 095354cf-1a7b-49cf-97d0-2315a42db6fe | studentsService | generatePdfAsync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:13:542 | 095354cf-1a7b-49cf-97d0-2315a42db6fe | studentsService | generatePdfAsync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:33:03:578 | 3b9bc90e-df5c-41c4-b5d2-e81601c145eb | routes | listener | {"message":"loaded route students"} {"service":"atul-assigment"}
info: 2024-03-10 08:33:03:963 | f52a4235-97c2-4cca-aecd-5adec8c1c333 | index | server | {"message":"server started on 3050"} {"service":"atul-assigment"}
info: 2024-03-10 08:33:04:032 | f52a4235-97c2-4cca-aecd-5adec8c1c333 | index | database | {"message":"mysql database connected!"} {"service":"atul-assigment"}
info: 2024-03-10 08:33:08:588 | 9f5ef33f-74aa-44d4-95b1-764cc588bfc2 | routes | listener | {"message":"loaded route students"} {"service":"atul-assigment"}
info: 2024-03-10 08:33:08:868 | 06e63701-880f-4ee9-b884-6a16c900a9bb | index | server | {"message":"server started on 3050"} {"service":"atul-assigment"}
info: 2024-03-10 08:33:08:913 | 06e63701-880f-4ee9-b884-6a16c900a9bb | index | database | {"message":"mysql database connected!"} {"service":"atul-assigment"}
info: 2024-03-10 08:33:31:513 | 21bf22f2-426d-44bd-9f71-7ad89c769200 | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:33:31:515 | 21bf22f2-426d-44bd-9f71-7ad89c769200 | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:33:31:516 | 21bf22f2-426d-44bd-9f71-7ad89c769200 | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:33:31:541 | 21bf22f2-426d-44bd-9f71-7ad89c769200 | studentsService | generatePdfAsync | {} {"service":"atul-assigment"}
error: 2024-03-10 08:33:35:613 | 21bf22f2-426d-44bd-9f71-7ad89c769200 | studentsController | generateIdCards | {"message":"Cannot destructure property 'statusCode' of '(intermediate value)' as it is undefined."} {"service":"atul-assigment"}
info: 2024-03-10 08:33:35:649 | 21bf22f2-426d-44bd-9f71-7ad89c769200 | studentsService | generatePdfAsync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:34:12:839 | 1fe6c00f-ef46-49f2-8336-ec599f67337a | routes | listener | {"message":"loaded route students"} {"service":"atul-assigment"}
info: 2024-03-10 08:34:13:074 | e8b26339-7827-4626-9ec4-52757c9b4e5b | index | server | {"message":"server started on 3050"} {"service":"atul-assigment"}
info: 2024-03-10 08:34:13:115 | e8b26339-7827-4626-9ec4-52757c9b4e5b | index | database | {"message":"mysql database connected!"} {"service":"atul-assigment"}
